Size,Dir,ExpectedGain,MaxLoss
1,0,11.944444449,-6
2,0,10.138888893,-6.5
3,0,13.650793655,-7.14285714285714
4,0,13.7654320972222,-8.22222222222222
5,0,12.7029914509615,-9.57692307692308
6,0,11.0430838963469,-17.2857142857143
7,0,11.0474537018333,-40.7083333333333
8,0,10.0322997397442,-56.3255813953488
9,0,10.3395061717407,-92.6111111111111
10,0,14.0123456790741,-95.1296296296296
11,0,14.5446265904098,-92.4918032786885
12,0,18.9542483671765,-92.9411764705882
13,0,17.8760683740615,-92.2615384615385
14,0,21.226287264561,-91.0975609756098
15,0,28.6071987439437,-89.6197183098592
16,0,30.3584229387957,-89.0645161290323
17,0,38.4943181888068,-88.0113636363636
18,0,43.3465608440238,-86.7698412698413
19,0,47.7266530450491,-85.9693251533742
20,0,50.2297008519551,-85.1474358974359
21,0,50.2604166686094,-84.03125
22,0,54.5072463774261,-83.0869565217391
23,0,54.3631436257398,-81.9105691056911
24,0,55.8571428612191,-81.1809523809524
25,0,52.5806451555269,-79.989247311828
26,0,55.1540616260252,-78.8991596638655
27,0,50.6452991427231,-78.0307692307692
28,0,60.5050505031469,-76.8531468531468
29,0,61.2793427211127,-76.1267605633803
30,0,71.5340909014489,-74.8806818181818
31,0,74.2005076165736,-73.9390862944162
32,0,77.1926713939202,-72.9308510638298
33,0,68.7383177558505,-72.0373831775701
34,0,71.2380952386428,-70.9285714285714
35,0,63.8713450260684,-70.2105263157895
36,0,67.6149425246069,-69.0896551724138
37,0,71.7259259165333,-67.9133333333333
38,0,76.4099099063514,-66.8702702702703
39,0,78.7598664115574,-66.1420765027323
40,0,83.0945692798314,-65.061797752809
41,0,86.8513071828471,-63.8117647058823
42,0,90.9005083462353,-62.7777777777778
43,0,95.1976823384601,-61.8036809815951
44,0,72.6143790894208,-39.1538461538462
45,0,78.7601625999756,-40.7909407665505
46,0,61.0682189618897,-23.6213235294118
47,0,57.8393770358326,-30.3891213389121
48,0,61.556211725063,-29.0787401574803
49,0,56.4664082737209,-36.1813953488372
50,0,60.6211843676923,-35.0714285714286
51,0,63.5185185205769,-34.0897435897436
52,0,68.5618014549112,-32.7988165680473
53,0,70.965949818,-31.8967741935484
54,0,77.3642439535338,-21.0526315789474
55,0,81.4199346417059,-21.9
56,0,85.8641975402778,-13.1597222222222
57,0,90.9391534458095,-12.1142857142857
58,0,96.8305555547,-11.5
59,0,99.8947368473684,-11
60,0,104.408068776833,-10.5357142857143
61,0,98.6152570409552,-10.7611940298507
62,0,84.722222222,-14
63,0,63.508230448,-38.4444444444444
64,0,33.9035087718947,-42.2105263157895
65,0,29.4318181811818,-68.1363636363636
66,0,28.1283068778571,-71.4523809523809
67,0,27.4107142860714,-72.1071428571429
68,0,30.1068376076923,-72.9538461538462
69,0,28.99691358,-74.1527777777778
70,0,30.8043117802985,-74.8059701492537
71,0,28.7908496731373,-75.9803921568627
72,0,28.1072351490698,-76.7906976744186
73,0,26.1827957035484,-78
74,0,25.5952380928571,-79.1428571428571
75,0,22.6388888925,-80.15
76,0,20.0628930816981,-81.188679245283
77,0,18.7393162419231,-81.8653846153846
78,0,16.7970521534694,-83.0408163265306
79,0,15.7861635235849,-84.0566037735849
80,0,14.8794549254717,-84.9811320754717
81,0,14.2397660826316,-85.6842105263158
82,0,12.6128472196875,-87.3125
83,0,11.49305555775,-88.025
84,0,11.06725146,-89.0263157894737
85,0,10.6555555572,-89.52
86,0,9.5878136167742,-91.483870967742
87,0,11.0907859012195,-92.0731707317073
88,0,9.04461278742426,-93.3484848484848
89,0,8.06513408908046,-94
90,0,6.42756680088609,-94.8860759493671
91,0,4.02777777354839,-95.9193548387097
92,0,2.75641025512821,-96.6923076923077
93,0,1.69642857,-97.9642857142857
94,0,0.740740742222222,-99.1111111111111
95,0,0.444444443000001,-99.9666666666667
96,0,0,-100.923076923077
97,0,0,-101.625
98,0,0,-102.666666666667
99,0,0,-103
