StartSize,PositionDir,Dir,Returnn,Abort,TotalGain
50,-9,0,-9,-9,0,
50,50,-1,6,97,-2.5,
2.77777777399903,-9,0,-9,-9,42.222222226001,
49.1666666666007,49.1666666666007,-1,6,97,39.722222226001,
5.83333332980055,-9,0,-9,-9,80.5555555628011,
50,50,-1,6,97,78.0555555628011,
97.222222226001,-9,0,-9,-9,28.3333333368001,
91.6666666700016,91.6666666700016,-1,6,100,25.8333333368001,
100.000000004001,-9,0,-9,-9,15.0000000028007,
50.8333333333993,50.8333333333993,-1,6,97,12.5000000028007,
97.222222226001,-9,0,-9,-9,-36.388888889801,
52.2222222224022,52.2222222224022,-1,10,97,-38.888888889801,
97.7777777815984,-9,0,-9,-9,-86.9444444489972,
50,50,-1,6,97,-89.4444444489972,
5.55555555199873,-9,0,-9,-9,-47.5000000009959,
48.6111111109971,48.6111111109971,-1,7,97,-50.0000000009959,
97.222222226001,-9,0,-9,-9,-101.111111116,
50.2777777777956,50.2777777777956,-1,6,97,-103.611111116,
97.222222226001,-9,0,-9,-9,-153.055555564205,
91.6666666700016,91.6666666700016,-1,6,100,-155.555555564205,
101.666666670799,-9,0,-9,-9,-168.055555565003,
52.2222222223961,52.2222222223961,-1,10,97,-170.555555565003,
98.0555555594003,-9,0,-9,-9,-218.888888902007,
50.5555555555975,50.5555555555975,-1,6,97,-221.388888902007,
5.83333332979438,-9,0,-9,-9,-179.166666676204,
48.0555555553996,48.0555555553996,-1,7,97,-181.666666676204,
6.66666666319984,-9,0,-9,-9,-142.777777784004,
48.0555555553996,48.0555555553996,-1,7,97,-145.277777784004,
97.222222226001,-9,0,-9,-9,-196.944444454605,
50.5555555555975,50.5555555555975,-1,6,97,-199.444444454605,
5.55555555199873,-9,0,-9,-9,-156.944444451006,
49.4444444443964,49.4444444443964,-1,6,97,-159.444444451006,
2.22222221839539,-9,0,-9,-9,-114.722222225005,
50.5555555555975,50.5555555555975,-1,6,97,-117.222222225005,
97.7777777815984,-9,0,-9,-9,-166.944444451006,
50,50,-1,6,97,-169.444444451006,
97.222222226001,-9,0,-9,-9,-219.166666677007,
53.611111111399,53.611111111399,-1,6,97,-221.666666677007,
97.2222222259948,-9,0,-9,-9,-267.777777791603,
50.8333333333993,50.8333333333993,-1,6,97,-270.277777791603,
5.55555555199873,-9,0,-9,-9,-227.500000010203,
48.8888888887989,48.8888888887989,-1,7,97,-230.000000010203,
98.3333333371959,-9,0,-9,-9,-281.9444444586,
50.8333333333993,50.8333333333993,-1,6,97,-284.4444444586,
5.83333332979438,-9,0,-9,-9,-241.944444454995,
48.3333333331952,48.3333333331952,-1,7,97,-244.444444454995,
97.7777777815984,-9,0,-9,-9,-296.388888903398,
50.2777777777956,50.2777777777956,-1,6,97,-298.888888903398,
5.83333332979438,-9,0,-9,-9,-256.944444455397,
49.9999999999938,49.9999999999938,-1,6,97,-259.444444455397,
97.2222222259948,-9,0,-9,-9,-309.166666681398,
50.2777777777956,50.2777777777956,-1,6,97,-311.666666681398,
5.55555555199873,-9,0,-9,-9,-269.444444455601,
50.2777777777956,50.2777777777956,-1,6,97,-271.944444455601,
5.83333332979438,-9,0,-9,-9,-230.0000000076,
48.0555555553996,48.0555555553996,-1,7,97,-232.5000000076,
6.94444444099549,-9,0,-9,-9,-193.888888893196,
48.8888888887989,48.8888888887989,-1,7,97,-196.388888893196,
98.0555555593941,-9,0,-9,-9,-248.055555563791,
50.2777777777956,50.2777777777956,-1,6,97,-250.555555563791,
5.55555555199873,-9,0,-9,-9,-208.333333337994,
49.9999999999938,49.9999999999938,-1,6,97,-210.833333337994,
98.0555555593941,-9,0,-9,-9,-261.388888897394,
50.5555555555975,50.5555555555975,-1,6,97,-263.888888897394,
5.83333332979438,-9,0,-9,-9,-221.666666671591,
49.7222222221982,49.7222222221982,-1,6,97,-224.166666671591,
5.83333332979438,-9,0,-9,-9,-182.777777779187,
48.6111111109971,48.6111111109971,-1,7,97,-185.277777779187,
6.1111111075962,-9,0,-9,-9,-145.277777775786,
49.7222222221982,49.7222222221982,-1,6,97,-147.777777775786,
98.0555555594003,-9,0,-9,-9,-198.611111112989,
50.8333333333993,50.8333333333993,-1,6,97,-201.111111112989,
97.2222222259948,-9,0,-9,-9,-250.000000005584,
91.6666666699954,91.6666666699954,-1,6,100,-252.500000005584,
101.388888892997,-9,0,-9,-9,-264.722222228586,
49.7222222221982,49.7222222221982,-1,6,97,-267.222222228586,
97.2222222259948,-9,0,-9,-9,-317.222222232382,
91.9444444477972,91.9444444477972,-1,6,100,-319.722222232382,
100.000000003995,-9,0,-9,-9,-330.27777778858,
50.8333333333931,50.8333333333931,-1,6,97,-332.77777778858,
98.3333333371959,-9,0,-9,-9,-382.777777792383,
50.2777777777956,50.2777777777956,-1,6,97,-385.277777792383,
98.0555555593941,-9,0,-9,-9,-435.555555573981,
53.3333333335972,53.3333333335972,-1,6,97,-438.055555573981,
97.5000000037966,-9,0,-9,-9,-484.722222244181,
91.9444444477972,91.9444444477972,-1,6,100,-487.222222244181,
100.000000003995,-9,0,-9,-9,-497.777777800379,
52.5000000001917,52.5000000001917,-1,10,97,-500.277777800379,
9.999999996797,-9,0,-9,-9,-460.277777796984,
48.3333333331952,48.3333333331952,-1,7,97,-462.777777796984,
97.5000000037966,-9,0,-9,-9,-514.444444467585,
50.8333333333931,50.8333333333931,-1,6,97,-516.944444467585,
5.83333332979438,-9,0,-9,-9,-474.444444463987,
49.9999999999938,49.9999999999938,-1,6,97,-476.944444463987,
5.27777777419691,-9,0,-9,-9,-434.72222223819,
49.722222222192,49.722222222192,-1,6,97,-437.22222223819,
4.99999999639509,-9,0,-9,-9,-395.000000012393,
50.2777777777956,50.2777777777956,-1,6,97,-397.500000012393,
5.83333332979438,-9,0,-9,-9,-355.555555564392,
49.9999999999938,49.9999999999938,-1,6,97,-358.055555564392,
97.2222222259948,-9,0,-9,-9,-407.777777790393,
49.7222222221982,49.7222222221982,-1,6,97,-410.277777790393,
3.61111110739832,-9,0,-9,-9,-366.666666675593,
50.2777777777956,50.2777777777956,-1,6,97,-369.166666675593,
4.99999999639509,-9,0,-9,-9,-326.388888894192,
48.3333333331952,48.3333333331952,-1,7,97,-328.888888894192,
98.3333333371959,-9,0,-9,-9,-381.388888898193,
52.2222222223961,52.2222222223961,-1,10,97,-383.888888898193,
9.999999996797,-9,0,-9,-9,-344.166666672594,
49.7222222221982,49.7222222221982,-1,6,97,-346.666666672594,
5.83333332979438,-9,0,-9,-9,-305.27777778019,
50.2777777777956,50.2777777777956,-1,6,97,-307.77777778019,
97.2222222259948,-9,0,-9,-9,-357.222222228389,
91.9444444477972,91.9444444477972,-1,6,100,-359.722222228389,
100.000000003995,-9,0,-9,-9,-370.277777784587,
52.2222222223961,52.2222222223961,-1,10,97,-372.777777784587,
9.999999996797,-9,0,-9,-9,-333.055555558988,
49.7222222221982,49.7222222221982,-1,6,97,-335.555555558988,
5.83333332979438,-9,0,-9,-9,-294.166666666584,
49.7222222221982,49.7222222221982,-1,6,97,-296.666666666584,
5.83333332980055,-9,0,-9,-9,-255.277777774186,
50,50,-1,6,97,-257.777777774186,
97.222222226001,-9,0,-9,-9,-307.500000000187,
52.5000000001979,52.5000000001979,-1,10,97,-310.000000000187,
97.222222226001,-9,0,-9,-9,-357.22222222599,
50.2777777777956,50.2777777777956,-1,6,97,-359.72222222599,
5.83333332979438,-9,0,-9,-9,-317.777777777989,
50,50,-1,6,97,-320.277777777989,
97.222222226001,-9,0,-9,-9,-370.00000000399,
50.5555555555975,50.5555555555975,-1,6,97,-372.50000000399,
5.83333332979438,-9,0,-9,-9,-330.277777778187,
49.4444444443964,49.4444444443964,-1,6,97,-332.777777778187,
4.72222221859943,-9,0,-9,-9,-290.55555555239,
50,50,-1,6,97,-293.05555555239,
5.83333332980055,-9,0,-9,-9,-251.388888882191,
49.4444444443964,49.4444444443964,-1,6,97,-253.888888882191,
97.222222226001,-9,0,-9,-9,-304.166666663795,
50.5555555555975,50.5555555555975,-1,6,97,-306.666666663795,
4.99999999640126,-9,0,-9,-9,-263.611111104599,
