Size,Dir,ExpectedGain,MaxLoss
58,0,74.4827867681466,-44.0351823619092
59,0,63.2315650643099,-42.415791424688
60,0,99.5496730418014,-41.5062083237526
61,0,162.06330538059,-40.0249788825872
62,0,199.659880020823,-38.991787501604
64,0,282.972261094844,-36.9748603351955
65,0,247.162243648061,-36.0381606039808
66,0,205.630585439581,-35.0147037200412
67,0,219.97438292818,-33.9695699425555
69,0,236.240564990538,-32.0577835979702
71,0,297.510763176033,-30.4880529544721
72,0,266.85109994961,-30.0274318715033
73,0,305.171762660833,-28.4471223021583
74,0,323.282083455463,-27.50256504214
75,0,327.064718363756,-26.0604988830975
76,0,424.413427938817,-24.9753133308014
77,0,443.474187841882,-24.0259118995416
78,0,450.815235240718,-23.0304749894914
79,0,382.21001591085,-22.0475059382423
81,0,180.242161555747,-21.5160273252759
82,0,187.570655406119,-20.9911430943814
83,0,168.297485905719,-21.4574652777778
84,0,205.002884848333,-20.9996649916248
