Size,PositionDir,Dir,Returnn,Abort,ExpectedGain,MaxLoss
76,-1,0,-9,-9,0,0
76,1,1,88,0,25.27777778,-76
77,-1,0,-9,-9,0,0
77,1,1,100,0,22.77777778,-77
78,-1,0,-9,-9,0,0
78,1,1,100,0,21.66666667,-78
79,-1,0,-9,-9,0,0
79,1,1,100,0,20.83333333,-79
80,-1,0,-9,-9,0,0
80,1,1,100,0,20,-80
81,-1,0,-9,-9,0,0
81,1,1,100,0,18.88888889,-81
82,-1,0,-9,-9,0,0
82,1,1,100,0,17.77777778,-82
83,-1,0,-9,-9,0,0
83,1,1,100,0,16.94444444,-83
84,-1,0,-9,-9,0,0
84,1,1,100,0,15.27777778,-84
85,-1,0,-9,-9,0,0
85,1,1,100,0,15,-85
86,-1,0,-9,-9,0,0
86,1,1,97,0,16.38888889,-86
87,-1,0,-9,-9,0,0
87,1,1,97,0,14.44444444,-87
88,-1,0,-9,-9,0,0
88,1,1,97,0,15.83333332,-88
89,-1,0,-9,-9,0,0
89,1,1,97,0,13.88888888,-89
90,-1,0,-9,-9,0,0
90,1,1,97,0,10.27777777,-90
91,-1,0,-9,-9,0,0
91,1,1,100,0,8.33333333,-91
92,-1,0,-9,-9,0,0
92,1,1,100,0,7.5,-92
93,-1,0,-9,-9,0,0
93,1,1,100,0,6.66666667,-93
94,-1,0,-9,-9,0,0
94,1,1,100,0,5.83333333,-94
95,-1,0,-9,-9,0,0
95,1,1,0,0,5,-95
96,-1,0,-9,-9,0,0
96,1,1,0,0,5,-96
97,-1,0,-9,-9,0,0
97,1,1,0,0,5,-97
98,-1,0,-9,-9,0,0
98,1,1,0,0,5,-98
99,-1,0,-9,-9,0,0
99,1,1,0,0,5,-99
